H,I,S,D,M,date,country
0,0,0,18,85,2021-10-15,Sweden
1,0,6,271,966,2021-10-15,Japan
2,1,2,42,352,2021-10-16,Afghanistan
0,0,0,18,85,2021-10-16,Sweden
1,0,6,271,966,2021-10-16,Japan
2,0,3,42,352,2021-10-17,Afghanistan
0,0,0,18,85,2021-10-17,Sweden
1,0,5,271,967,2021-10-17,Japan
1,1,3,42,352,2021-10-18,Afghanistan
0,0,0,18,85,2021-10-18,Sweden
1,0,5,271,967,2021-10-18,Japan
1,1,3,42,352,2021-10-19,Afghanistan
0,0,0,18,85,2021-10-19,Sweden
1,0,4,271,968,2021-10-19,Japan
1,1,3,42,352,2021-10-20,Afghanistan
0,0,0,18,85,2021-10-20,Sweden
0,1,4,271,968,2021-10-20,Japan
1,1,2,42,353,2021-10-21,Afghanistan
0,0,0,18,85,2021-10-21,Sweden
0,1,3,271,969,2021-10-21,Japan
1,0,3,42,353,2021-10-22,Afghanistan
0,0,0,18,85,2021-10-22,Sweden
0,1,1,271,971,2021-10-22,Japan
1,0,3,42,353,2021-10-23,Afghanistan
0,0,0,18,85,2021-10-23,Sweden
0,1,1,271,971,2021-10-23,Japan
1,0,3,42,353,2021-10-24,Afghanistan
0,0,0,18,85,2021-10-24,Sweden
0,0,1,271,972,2021-10-24,Japan
1,0,3,42,353,2021-10-25,Afghanistan
0,0,0,18,85,2021-10-25,Sweden
0,0,1,271,972,2021-10-25,Japan
1,0,3,42,353,2021-10-26,Afghanistan
0,0,0,18,85,2021-10-26,Sweden
0,0,1,271,972,2021-10-26,Japan
1,0,3,42,353,2021-10-27,Afghanistan
0,0,0,18,85,2021-10-27,Sweden
0,0,1,271,972,2021-10-27,Japan
1,0,2,42,354,2021-10-28,Afghanistan
0,0,0,18,85,2021-10-28,Sweden
0,0,0,271,973,2021-10-28,Japan
1,0,2,42,354,2021-10-29,Afghanistan
0,0,0,18,85,2021-10-29,Sweden
0,0,0,271,973,2021-10-29,Japan
1,0,2,42,354,2021-10-30,Afghanistan
0,0,0,18,85,2021-10-30,Sweden
0,0,0,271,973,2021-10-30,Japan
1,0,1,42,355,2021-10-31,Afghanistan
0,0,0,18,85,2021-10-31,Sweden
0,0,0,271,973,2021-10-31,Japan
1,0,1,42,355,2021-11-01,Afghanistan
0,0,0,18,85,2021-11-01,Sweden
0,0,0,271,973,2021-11-01,Japan
1,0,1,42,355,2021-11-02,Afghanistan
0,0,0,18,85,2021-11-02,Sweden
0,0,0,271,973,2021-11-02,Japan
1,0,1,42,355,2021-11-03,Afghanistan
0,0,0,18,85,2021-11-03,Sweden
0,0,0,271,973,2021-11-03,Japan
1,0,1,42,355,2021-11-04,Afghanistan
0,0,0,18,85,2021-11-04,Sweden
0,0,0,271,973,2021-11-04,Japan
1,0,0,42,356,2021-11-05,Afghanistan
0,0,0,18,85,2021-11-05,Sweden
0,0,0,271,973,2021-11-05,Japan
1,0,0,42,356,2021-11-06,Afghanistan
0,0,0,18,85,2021-11-06,Sweden
0,0,0,271,973,2021-11-06,Japan
1,0,0,42,356,2021-11-07,Afghanistan
0,0,0,18,85,2021-11-07,Sweden
0,0,0,271,973,2021-11-07,Japan
0,1,0,42,356,2021-11-08,Afghanistan
0,0,0,18,85,2021-11-08,Sweden
0,0,0,271,973,2021-11-08,Japan
0,1,0,42,356,2021-11-09,Afghanistan
0,0,0,18,85,2021-11-09,Sweden
1,0,0,271,972,2021-11-09,Japan
0,1,0,42,356,2021-11-10,Afghanistan
0,0,0,18,85,2021-11-10,Sweden
1,0,0,271,972,2021-11-10,Japan
0,1,0,42,356,2021-11-11,Afghanistan
0,0,0,18,85,2021-11-11,Sweden
1,0,0,271,972,2021-11-11,Japan
0,0,0,42,357,2021-11-12,Afghanistan
0,0,0,18,85,2021-11-12,Sweden
1,0,0,271,972,2021-11-12,Japan
0,0,0,42,357,2021-11-13,Afghanistan
0,0,0,18,85,2021-11-13,Sweden
1,0,0,271,972,2021-11-13,Japan
0,0,0,42,357,2021-11-14,Afghanistan
0,0,0,18,85,2021-11-14,Sweden
1,0,0,271,972,2021-11-14,Japan
0,0,0,42,357,2021-11-15,Afghanistan
0,0,0,18,85,2021-11-15,Sweden
1,0,0,271,972,2021-11-15,Japan
0,0,0,42,357,2021-11-16,Afghanistan
0,0,0,18,85,2021-11-16,Sweden
1,0,0,271,972,2021-11-16,Japan
0,0,0,42,357,2021-11-17,Afghanistan
0,0,0,18,85,2021-11-17,Sweden
1,0,0,271,972,2021-11-17,Japan
0,0,0,42,357,2021-11-18,Afghanistan
0,0,0,18,85,2021-11-18,Sweden
1,0,0,271,972,2021-11-18,Japan
0,0,0,42,357,2021-11-19,Afghanistan
0,0,0,18,85,2021-11-19,Sweden
1,0,0,271,972,2021-11-19,Japan
0,0,0,42,357,2021-11-20,Afghanistan
0,0,0,18,85,2021-11-20,Sweden
0,1,0,271,972,2021-11-20,Japan
0,0,0,42,357,2021-11-21,Afghanistan
0,0,0,18,85,2021-11-21,Sweden
0,1,0,271,972,2021-11-21,Japan
0,0,0,42,357,2021-11-22,Afghanistan
0,0,0,18,85,2021-11-22,Sweden
0,1,0,271,972,2021-11-22,Japan
0,0,0,42,357,2021-11-23,Afghanistan
0,0,0,18,85,2021-11-23,Sweden
0,1,0,271,972,2021-11-23,Japan
0,0,0,42,357,2021-11-24,Afghanistan
0,0,0,18,85,2021-11-24,Sweden
0,0,1,271,972,2021-11-24,Japan
0,0,0,42,357,2021-11-25,Afghanistan
0,0,0,18,85,2021-11-25,Sweden
0,0,1,271,972,2021-11-25,Japan
0,0,0,42,357,2021-11-26,Afghanistan
0,0,0,18,85,2021-11-26,Sweden
0,0,1,271,972,2021-11-26,Japan
0,0,0,42,357,2021-11-27,Afghanistan
0,0,0,18,85,2021-11-27,Sweden
0,0,1,271,972,2021-11-27,Japan
0,0,0,42,357,2021-11-28,Afghanistan
0,0,0,18,85,2021-11-28,Sweden
0,0,1,271,972,2021-11-28,Japan
0,0,0,42,357,2021-11-29,Afghanistan
0,0,0,18,85,2021-11-29,Sweden
0,0,1,271,972,2021-11-29,Japan
0,0,0,42,357,2021-11-30,Afghanistan
0,0,0,18,85,2021-11-30,Sweden
0,0,1,271,972,2021-11-30,Japan
0,0,0,42,357,2021-12-01,Afghanistan
0,0,0,18,85,2021-12-01,Sweden
0,0,1,271,972,2021-12-01,Japan
0,0,0,42,357,2021-12-02,Afghanistan
0,0,0,18,85,2021-12-02,Sweden
0,0,1,271,972,2021-12-02,Japan
0,0,0,42,357,2021-12-03,Afghanistan
0,0,0,18,85,2021-12-03,Sweden
0,0,1,271,972,2021-12-03,Japan
0,0,0,42,357,2021-12-04,Afghanistan
0,0,0,18,85,2021-12-04,Sweden
0,0,1,271,972,2021-12-04,Japan
0,0,0,42,357,2021-12-05,Afghanistan
0,0,0,18,85,2021-12-05,Sweden
0,0,1,271,972,2021-12-05,Japan
5,0,0,42,352,2021-12-06,Afghanistan
2,0,0,18,83,2021-12-06,Sweden
23,0,1,271,949,2021-12-06,Japan
14,0,0,42,343,2021-12-07,Afghanistan
6,0,0,18,79,2021-12-07,Sweden
51,5,1,271,916,2021-12-07,Japan
15,8,0,42,334,2021-12-08,Afghanistan
9,0,0,18,76,2021-12-08,Sweden
84,16,0,271,873,2021-12-08,Japan
18,13,0,42,326,2021-12-09,Afghanistan
8,3,0,18,74,2021-12-09,Sweden
90,36,0,271,847,2021-12-09,Japan
20,18,0,42,319,2021-12-10,Afghanistan
9,4,0,18,72,2021-12-10,Sweden
93,61,0,271,819,2021-12-10,Japan
22,21,0,42,314,2021-12-11,Afghanistan
9,6,0,18,70,2021-12-11,Sweden
86,81,3,271,803,2021-12-11,Japan
20,18,6,42,313,2021-12-12,Afghanistan
12,9,0,18,64,2021-12-12,Sweden
78,102,6,271,787,2021-12-12,Japan
23,16,7,42,311,2021-12-13,Afghanistan
7,12,2,18,64,2021-12-13,Sweden
72,105,18,271,778,2021-12-13,Japan
21,17,9,42,310,2021-12-14,Afghanistan
8,11,3,18,63,2021-12-14,Sweden
66,100,31,271,776,2021-12-14,Japan
16,20,11,42,310,2021-12-15,Afghanistan
7,12,4,18,62,2021-12-15,Sweden
61,93,43,271,776,2021-12-15,Japan
17,16,13,42,311,2021-12-16,Afghanistan
6,11,5,18,63,2021-12-16,Sweden
53,76,58,271,786,2021-12-16,Japan
17,16,13,42,311,2021-12-17,Afghanistan
8,5,9,18,63,2021-12-17,Sweden
48,68,69,271,788,2021-12-17,Japan
17,13,14,42,313,2021-12-18,Afghanistan
7,7,9,18,62,2021-12-18,Sweden
49,54,78,271,792,2021-12-18,Japan
17,9,17,42,314,2021-12-19,Afghanistan
7,4,11,18,63,2021-12-19,Sweden
45,43,87,271,798,2021-12-19,Japan
28,11,17,42,301,2021-12-20,Afghanistan
11,3,13,18,58,2021-12-20,Sweden
68,38,96,271,771,2021-12-20,Japan
38,13,19,42,287,2021-12-21,Afghanistan
12,6,13,18,54,2021-12-21,Sweden
110,34,101,271,728,2021-12-21,Japan
49,16,21,42,271,2021-12-22,Afghanistan
11,8,14,18,52,2021-12-22,Sweden
137,62,104,271,670,2021-12-22,Japan
54,26,21,42,256,2021-12-23,Afghanistan
12,8,14,18,51,2021-12-23,Sweden
153,95,108,271,617,2021-12-23,Japan
63,33,21,42,240,2021-12-24,Afghanistan
14,11,15,18,45,2021-12-24,Sweden
159,124,114,271,576,2021-12-24,Japan
49,49,22,42,237,2021-12-25,Afghanistan
15,10,17,18,43,2021-12-25,Sweden
151,155,120,271,547,2021-12-25,Japan
56,51,17,46,229,2021-12-26,Afghanistan
14,10,18,18,43,2021-12-26,Sweden
164,147,133,271,529,2021-12-26,Japan
63,47,20,46,223,2021-12-27,Afghanistan
12,12,16,19,44,2021-12-27,Sweden
143,160,139,273,529,2021-12-27,Japan
52,57,24,46,220,2021-12-28,Afghanistan
11,10,16,19,47,2021-12-28,Sweden
121,166,148,273,536,2021-12-28,Japan
54,48,33,46,218,2021-12-29,Afghanistan
11,8,15,19,50,2021-12-29,Sweden
105,157,157,275,550,2021-12-29,Japan
56,48,34,46,215,2021-12-30,Afghanistan
7,9,17,19,51,2021-12-30,Sweden
93,164,154,280,553,2021-12-30,Japan
55,47,38,46,213,2021-12-31,Afghanistan
7,8,14,19,55,2021-12-31,Sweden
86,136,168,283,571,2021-12-31,Japan
47,38,46,46,222,2022-01-01,Afghanistan
8,8,15,19,53,2022-01-01,Sweden
77,111,182,284,590,2022-01-01,Japan
43,35,48,47,226,2022-01-02,Afghanistan
7,9,13,19,55,2022-01-02,Sweden
72,96,199,285,592,2022-01-02,Japan
47,30,55,47,220,2022-01-03,Afghanistan
9,7,14,19,54,2022-01-03,Sweden
72,79,210,288,595,2022-01-03,Japan
48,32,55,47,217,2022-01-04,Afghanistan
8,8,14,19,54,2022-01-04,Sweden
77,74,219,290,584,2022-01-04,Japan
53,25,60,48,213,2022-01-05,Afghanistan
9,6,14,19,55,2022-01-05,Sweden
82,71,223,290,578,2022-01-05,Japan
52,27,65,48,207,2022-01-06,Afghanistan
11,5,15,19,53,2022-01-06,Sweden
84,74,232,291,563,2022-01-06,Japan
50,33,68,48,200,2022-01-07,Afghanistan
10,3,15,19,56,2022-01-07,Sweden
91,76,234,291,552,2022-01-07,Japan
45,34,70,48,202,2022-01-08,Afghanistan
15,1,14,19,54,2022-01-08,Sweden
97,74,239,295,539,2022-01-08,Japan
47,35,71,48,198,2022-01-09,Afghanistan
14,4,13,19,53,2022-01-09,Sweden
89,79,233,298,545,2022-01-09,Japan
47,31,73,48,200,2022-01-10,Afghanistan
14,5,13,19,52,2022-01-10,Sweden
82,80,220,300,562,2022-01-10,Japan
46,29,73,50,201,2022-01-11,Afghanistan
13,6,12,19,53,2022-01-11,Sweden
77,81,208,309,569,2022-01-11,Japan
45,25,68,51,210,2022-01-12,Afghanistan
12,9,12,19,51,2022-01-12,Sweden
68,79,198,311,588,2022-01-12,Japan
42,27,67,52,211,2022-01-13,Afghanistan
14,6,10,20,53,2022-01-13,Sweden
63,67,197,313,604,2022-01-13,Japan
43,23,68,52,213,2022-01-14,Afghanistan
12,7,9,20,55,2022-01-14,Sweden
57,54,181,324,628,2022-01-14,Japan
44,22,61,53,219,2022-01-15,Afghanistan
11,6,9,20,57,2022-01-15,Sweden
51,42,168,329,654,2022-01-15,Japan
42,20,59,53,225,2022-01-16,Afghanistan
10,5,11,20,57,2022-01-16,Sweden
42,41,150,333,678,2022-01-16,Japan
40,19,55,53,232,2022-01-17,Afghanistan
8,7,8,21,59,2022-01-17,Sweden
35,39,135,337,698,2022-01-17,Japan
37,21,54,53,234,2022-01-18,Afghanistan
8,6,9,21,59,2022-01-18,Sweden
36,36,126,341,705,2022-01-18,Japan
35,19,52,53,240,2022-01-19,Afghanistan
7,6,8,21,61,2022-01-19,Sweden
33,34,122,342,713,2022-01-19,Japan
33,21,49,53,243,2022-01-20,Afghanistan
6,5,7,21,64,2022-01-20,Sweden
35,23,116,343,727,2022-01-20,Japan
30,19,48,53,249,2022-01-21,Afghanistan
5,4,7,21,66,2022-01-21,Sweden
31,22,113,343,735,2022-01-21,Japan
30,15,46,53,255,2022-01-22,Afghanistan
4,4,7,21,67,2022-01-22,Sweden
29,19,102,345,749,2022-01-22,Japan
29,14,46,53,257,2022-01-23,Afghanistan
4,3,8,21,67,2022-01-23,Sweden
24,19,94,347,760,2022-01-23,Japan
27,11,43,54,264,2022-01-24,Afghanistan
4,2,8,21,68,2022-01-24,Sweden
24,17,91,348,764,2022-01-24,Japan
29,7,39,54,270,2022-01-25,Afghanistan
4,1,9,21,68,2022-01-25,Sweden
22,12,83,348,779,2022-01-25,Japan
27,9,34,54,275,2022-01-26,Afghanistan
1,3,9,21,69,2022-01-26,Sweden
18,15,74,350,787,2022-01-26,Japan
25,10,35,54,275,2022-01-27,Afghanistan
2,3,8,21,69,2022-01-27,Sweden
17,13,63,353,798,2022-01-27,Japan
23,9,32,55,280,2022-01-28,Afghanistan
1,4,8,21,69,2022-01-28,Sweden
18,12,55,354,805,2022-01-28,Japan
21,12,30,55,281,2022-01-29,Afghanistan
1,4,7,21,70,2022-01-29,Sweden
17,11,45,357,814,2022-01-29,Japan
19,13,29,55,283,2022-01-30,Afghanistan
1,1,7,21,73,2022-01-30,Sweden
16,7,39,360,822,2022-01-30,Japan
15,13,28,56,287,2022-01-31,Afghanistan
1,1,7,21,73,2022-01-31,Sweden
15,7,35,360,827,2022-01-31,Japan
14,13,28,56,288,2022-02-01,Afghanistan
1,0,6,21,75,2022-02-01,Sweden
13,8,31,360,832,2022-02-01,Japan
12,13,25,56,293,2022-02-02,Afghanistan
1,0,6,21,75,2022-02-02,Sweden
15,8,28,360,833,2022-02-02,Japan
10,12,26,56,295,2022-02-03,Afghanistan
1,0,6,21,75,2022-02-03,Sweden
15,7,22,360,840,2022-02-03,Japan
10,8,26,56,299,2022-02-04,Afghanistan
1,0,5,21,76,2022-02-04,Sweden
15,4,18,361,846,2022-02-04,Japan
9,7,26,56,301,2022-02-05,Afghanistan
1,0,4,22,76,2022-02-05,Sweden
13,4,15,361,851,2022-02-05,Japan
9,4,27,56,303,2022-02-06,Afghanistan
1,0,3,23,76,2022-02-06,Sweden
11,5,14,361,853,2022-02-06,Japan
9,1,26,56,307,2022-02-07,Afghanistan
1,0,3,23,76,2022-02-07,Sweden
11,5,12,361,855,2022-02-07,Japan
9,1,24,56,309,2022-02-08,Afghanistan
0,1,2,23,77,2022-02-08,Sweden
11,6,10,361,856,2022-02-08,Japan
7,2,24,57,309,2022-02-09,Afghanistan
0,1,2,23,77,2022-02-09,Sweden
11,6,9,361,857,2022-02-09,Japan
7,2,21,57,312,2022-02-10,Afghanistan
0,1,2,23,77,2022-02-10,Sweden
12,4,9,361,858,2022-02-10,Japan
6,3,19,57,314,2022-02-11,Afghanistan
0,1,2,23,77,2022-02-11,Sweden
12,4,9,361,858,2022-02-11,Japan
6,3,19,57,314,2022-02-12,Afghanistan
0,0,3,23,77,2022-02-12,Sweden
12,4,10,361,857,2022-02-12,Japan
7,1,18,57,316,2022-02-13,Afghanistan
0,0,1,23,79,2022-02-13,Sweden
10,4,10,361,859,2022-02-13,Japan
5,3,16,57,318,2022-02-14,Afghanistan
0,0,1,23,79,2022-02-14,Sweden
11,4,9,361,859,2022-02-14,Japan
4,3,16,57,319,2022-02-15,Afghanistan
0,0,1,23,79,2022-02-15,Sweden
10,4,8,361,861,2022-02-15,Japan
4,3,14,57,321,2022-02-16,Afghanistan
0,0,1,23,79,2022-02-16,Sweden
9,5,9,361,860,2022-02-16,Japan
4,3,11,57,324,2022-02-17,Afghanistan
0,0,1,23,79,2022-02-17,Sweden
9,3,8,361,863,2022-02-17,Japan
5,1,10,57,326,2022-02-18,Afghanistan
0,0,1,23,79,2022-02-18,Sweden
9,4,7,361,863,2022-02-18,Japan
5,0,10,57,327,2022-02-19,Afghanistan
0,0,1,23,79,2022-02-19,Sweden
11,3,7,361,862,2022-02-19,Japan
4,1,7,57,330,2022-02-20,Afghanistan
0,0,1,23,79,2022-02-20,Sweden
11,1,7,361,864,2022-02-20,Japan
4,1,5,57,332,2022-02-21,Afghanistan
0,0,1,23,79,2022-02-21,Sweden
10,3,7,361,863,2022-02-21,Japan
3,2,5,57,332,2022-02-22,Afghanistan
0,0,1,23,79,2022-02-22,Sweden
9,3,8,361,863,2022-02-22,Japan
3,2,4,57,333,2022-02-23,Afghanistan
0,0,1,23,79,2022-02-23,Sweden
7,5,7,361,864,2022-02-23,Japan
3,1,4,57,334,2022-02-24,Afghanistan
0,0,1,23,79,2022-02-24,Sweden
7,5,7,361,864,2022-02-24,Japan
3,2,4,57,333,2022-02-25,Afghanistan
0,0,1,23,79,2022-02-25,Sweden
8,3,7,361,865,2022-02-25,Japan
2,2,4,57,334,2022-02-26,Afghanistan
0,0,0,23,80,2022-02-26,Sweden
7,3,6,361,867,2022-02-26,Japan
2,2,3,57,335,2022-02-27,Afghanistan
0,0,0,23,80,2022-02-27,Sweden
4,4,6,361,869,2022-02-27,Japan
3,2,3,57,334,2022-02-28,Afghanistan
0,0,0,23,80,2022-02-28,Sweden
4,4,6,361,869,2022-02-28,Japan
3,1,2,57,336,2022-03-01,Afghanistan
0,0,0,23,80,2022-03-01,Sweden
4,4,6,361,869,2022-03-01,Japan
3,0,3,57,336,2022-03-02,Afghanistan
0,0,0,23,80,2022-03-02,Sweden
4,3,6,361,870,2022-03-02,Japan
3,0,3,57,336,2022-03-03,Afghanistan
0,0,0,23,80,2022-03-03,Sweden
4,0,6,361,873,2022-03-03,Japan
1,2,2,57,337,2022-03-04,Afghanistan
0,0,0,23,80,2022-03-04,Sweden
4,0,6,361,873,2022-03-04,Japan
2,2,1,57,337,2022-03-05,Afghanistan
0,0,0,23,80,2022-03-05,Sweden
3,1,6,361,873,2022-03-05,Japan
2,2,1,57,337,2022-03-06,Afghanistan
0,0,0,23,80,2022-03-06,Sweden
3,1,5,361,874,2022-03-06,Japan
2,2,1,57,337,2022-03-07,Afghanistan
0,0,0,23,80,2022-03-07,Sweden
2,2,5,361,874,2022-03-07,Japan
2,0,3,57,337,2022-03-08,Afghanistan
0,0,0,23,80,2022-03-08,Sweden
1,3,4,361,875,2022-03-08,Japan
1,1,3,57,337,2022-03-09,Afghanistan
0,0,0,23,80,2022-03-09,Sweden
1,2,4,361,876,2022-03-09,Japan
1,1,3,57,337,2022-03-10,Afghanistan
0,0,0,23,80,2022-03-10,Sweden
1,2,4,361,876,2022-03-10,Japan
0,2,3,57,337,2022-03-11,Afghanistan
0,0,0,23,80,2022-03-11,Sweden
1,1,3,361,878,2022-03-11,Japan
1,2,3,57,336,2022-03-12,Afghanistan
0,0,0,23,80,2022-03-12,Sweden
1,0,4,361,878,2022-03-12,Japan
1,1,4,57,336,2022-03-13,Afghanistan
0,0,0,23,80,2022-03-13,Sweden
1,0,2,361,880,2022-03-13,Japan
1,1,4,57,336,2022-03-14,Afghanistan
0,0,0,23,80,2022-03-14,Sweden
1,0,2,361,880,2022-03-14,Japan
1,0,5,57,336,2022-03-15,Afghanistan
0,0,0,23,80,2022-03-15,Sweden
1,0,2,361,880,2022-03-15,Japan
1,0,4,57,337,2022-03-16,Afghanistan
0,0,0,23,80,2022-03-16,Sweden
1,0,1,361,881,2022-03-16,Japan
0,1,4,57,337,2022-03-17,Afghanistan
0,0,0,23,80,2022-03-17,Sweden
1,0,1,361,881,2022-03-17,Japan
0,1,4,57,337,2022-03-18,Afghanistan
0,0,0,23,80,2022-03-18,Sweden
1,0,1,361,881,2022-03-18,Japan
0,1,4,57,337,2022-03-19,Afghanistan
0,0,0,23,80,2022-03-19,Sweden
1,0,1,361,881,2022-03-19,Japan
0,1,4,57,337,2022-03-20,Afghanistan
0,0,0,23,80,2022-03-20,Sweden
1,0,1,361,881,2022-03-20,Japan
0,0,5,57,337,2022-03-21,Afghanistan
0,0,0,23,80,2022-03-21,Sweden
1,0,1,361,881,2022-03-21,Japan
0,0,3,57,339,2022-03-22,Afghanistan
0,0,0,23,80,2022-03-22,Sweden
1,0,1,361,881,2022-03-22,Japan
0,0,3,57,339,2022-03-23,Afghanistan
0,0,0,23,80,2022-03-23,Sweden
1,0,1,361,881,2022-03-23,Japan
0,0,3,57,339,2022-03-24,Afghanistan
0,0,0,23,80,2022-03-24,Sweden
1,0,1,361,881,2022-03-24,Japan
0,0,3,57,339,2022-03-25,Afghanistan
0,0,0,23,80,2022-03-25,Sweden
1,0,1,361,881,2022-03-25,Japan
0,0,3,57,339,2022-03-26,Afghanistan
0,0,0,23,80,2022-03-26,Sweden
0,1,0,361,882,2022-03-26,Japan
0,0,2,57,340,2022-03-27,Afghanistan
0,0,0,23,80,2022-03-27,Sweden
0,1,0,361,882,2022-03-27,Japan
0,0,2,57,340,2022-03-28,Afghanistan
0,0,0,23,80,2022-03-28,Sweden
0,1,0,361,882,2022-03-28,Japan
0,0,1,57,341,2022-03-29,Afghanistan
0,0,0,23,80,2022-03-29,Sweden
0,1,0,361,882,2022-03-29,Japan
0,0,1,57,341,2022-03-30,Afghanistan
0,0,0,23,80,2022-03-30,Sweden
0,0,1,361,882,2022-03-30,Japan
0,0,1,57,341,2022-03-31,Afghanistan
0,0,0,23,80,2022-03-31,Sweden
0,0,1,361,882,2022-03-31,Japan
0,0,1,57,341,2022-04-01,Afghanistan
0,0,0,23,80,2022-04-01,Sweden
0,0,1,361,882,2022-04-01,Japan
0,0,1,57,341,2022-04-02,Afghanistan
0,0,0,23,80,2022-04-02,Sweden
0,0,1,361,882,2022-04-02,Japan
0,0,1,57,341,2022-04-03,Afghanistan
0,0,0,23,80,2022-04-03,Sweden
0,0,1,361,882,2022-04-03,Japan
0,0,0,57,342,2022-04-04,Afghanistan
0,0,0,23,80,2022-04-04,Sweden
0,0,1,361,882,2022-04-04,Japan
0,0,0,57,342,2022-04-05,Afghanistan
0,0,0,23,80,2022-04-05,Sweden
0,0,1,361,882,2022-04-05,Japan
0,0,0,57,342,2022-04-06,Afghanistan
0,0,0,23,80,2022-04-06,Sweden
0,0,1,361,882,2022-04-06,Japan
0,0,0,57,342,2022-04-07,Afghanistan
0,0,0,23,80,2022-04-07,Sweden
1,0,1,361,881,2022-04-07,Japan
0,0,0,57,342,2022-04-08,Afghanistan
0,0,0,23,80,2022-04-08,Sweden
1,0,1,361,881,2022-04-08,Japan
0,0,0,57,342,2022-04-09,Afghanistan
0,0,0,23,80,2022-04-09,Sweden
1,0,1,361,881,2022-04-09,Japan
0,0,0,57,342,2022-04-10,Afghanistan
0,0,0,23,80,2022-04-10,Sweden
3,0,1,361,879,2022-04-10,Japan
2,0,0,57,340,2022-04-11,Afghanistan
0,0,0,23,80,2022-04-11,Sweden
11,0,1,361,871,2022-04-11,Japan
5,1,0,57,336,2022-04-12,Afghanistan
1,0,0,23,79,2022-04-12,Sweden
16,3,1,361,863,2022-04-12,Japan
7,2,0,57,333,2022-04-13,Afghanistan
1,0,0,23,79,2022-04-13,Sweden
24,7,0,361,852,2022-04-13,Japan
5,5,0,57,332,2022-04-14,Afghanistan
2,0,0,23,78,2022-04-14,Sweden
33,11,0,361,839,2022-04-14,Japan
6,7,0,57,329,2022-04-15,Afghanistan
3,1,0,23,76,2022-04-15,Sweden
40,21,0,361,822,2022-04-15,Japan
9,6,0,57,327,2022-04-16,Afghanistan
4,2,0,23,74,2022-04-16,Sweden
43,27,1,361,812,2022-04-16,Japan
12,7,1,57,322,2022-04-17,Afghanistan
2,4,0,23,74,2022-04-17,Sweden
40,37,3,361,803,2022-04-17,Japan
12,7,1,57,322,2022-04-18,Afghanistan
3,4,0,23,73,2022-04-18,Sweden
31,51,5,361,796,2022-04-18,Japan
11,7,2,57,322,2022-04-19,Afghanistan
3,3,1,23,73,2022-04-19,Sweden
29,49,9,361,796,2022-04-19,Japan
9,10,2,57,321,2022-04-20,Afghanistan
2,3,2,23,73,2022-04-20,Sweden
33,46,14,361,790,2022-04-20,Japan
6,12,3,57,321,2022-04-21,Afghanistan
2,2,3,23,73,2022-04-21,Sweden
26,42,22,361,793,2022-04-21,Japan
5,12,5,57,320,2022-04-22,Afghanistan
2,2,3,23,73,2022-04-22,Sweden
19,34,30,361,800,2022-04-22,Japan
6,12,7,57,317,2022-04-23,Afghanistan
1,3,3,23,73,2022-04-23,Sweden
19,30,35,361,799,2022-04-23,Japan
9,10,9,57,314,2022-04-24,Afghanistan
2,2,3,23,73,2022-04-24,Sweden
16,32,38,361,797,2022-04-24,Japan
12,10,12,57,308,2022-04-25,Afghanistan
5,1,3,23,71,2022-04-25,Sweden
33,26,41,361,783,2022-04-25,Japan
18,10,14,57,300,2022-04-26,Afghanistan
3,4,3,23,70,2022-04-26,Sweden
57,24,43,361,759,2022-04-26,Japan
20,12,14,57,296,2022-04-27,Afghanistan
7,3,4,23,66,2022-04-27,Sweden
70,37,46,361,730,2022-04-27,Japan
30,13,14,57,285,2022-04-28,Afghanistan
9,4,4,23,63,2022-04-28,Sweden
78,52,51,361,702,2022-04-28,Japan
27,19,15,57,281,2022-04-29,Afghanistan
10,5,4,23,61,2022-04-29,Sweden
77,73,51,361,682,2022-04-29,Japan
23,24,16,57,279,2022-04-30,Afghanistan
11,6,6,23,57,2022-04-30,Sweden
85,93,53,361,652,2022-04-30,Japan
